Section_name,original_text,proposed_revision,justification,edit_type,diff_output
"Page 4, Introduction (Section 1)",All engineering services date from the original 2005 construction and 2023 refurbishment.,"Engineering services are a hybrid of original 2020 installations and systems upgraded during the 2023 refurbishment, as detailed in the Survey Report (Section 3).","The original statement is an oversimplification and factually incorrect regarding the date. This revision is more accurate about the plant's age (reflecting the correct 2020 build date), acknowledges the mixed-age systems, and correctly points the reader to the detailed sections, improving internal consistency.","Technical Accuracy, Internal Consistency","<span style='text-decoration:line-through;color:red'>All</span> <span style='text-decoration:line-through;color:red'>engineering</span> <span style='color:green;font-weight:bold'>Engineering</span> services <span style='text-decoration:line-through;color:red'>date</span> <span style='text-decoration:line-through;color:red'>from</span> <span style='color:green;font-weight:bold'>are</span> <span style='color:green;font-weight:bold'>a</span> <span style='color:green;font-weight:bold'>hybrid</span> <span style='color:green;font-weight:bold'>of</span> <span style='color:green;font-weight:bold'>original</span> <span style='color:green;font-weight:bold'>2020</span> <span style='color:green;font-weight:bold'>installations</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>systems</span> <span style='color:green;font-weight:bold'>upgraded</span> <span style='color:green;font-weight:bold'>during</span> the <span style='text-decoration:line-through;color:red'>original</span> <span style='text-decoration:line-through;color:red'>2005</span> <span style='text-decoration:line-through;color:red'>construction</span> <span style='text-decoration:line-through;color:red'>and</span> 2023 <span style='text-decoration:line-through;color:red'>refurbishment.</span> <span style='color:green;font-weight:bold'>refurbishment,</span> <span style='color:green;font-weight:bold'>as</span> <span style='color:green;font-weight:bold'>detailed</span> <span style='color:green;font-weight:bold'>in</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>Survey</span> <span style='color:green;font-weight:bold'>Report</span> <span style='color:green;font-weight:bold'>(Section</span> <span style='color:green;font-weight:bold'>3).</span>"
"Page 5, Executive Summary (Section 2)","The survey was carried out on Tuesday 28th January 2025, when the weather conditions were overcast and raining with an external air temperature of circa 10°C. An additional visit was undertaken on Friday 28th February 2025 to inspect Flat 5 of Cove Apartments when the weather conditions were sunny with an external air temperature of circa 10°C.","The survey was carried out on 18 June 2025, when the weather conditions were overcast and rainy with an external air temperature of approximately 10°C.","Synthesizes multiple corrections: the survey date is updated to align with the fact list, the redundant second visit (related to a now-deleted building) is removed, and language is improved for professionalism (e.g., standard UK date format, 'circa' replaced with 'approximately').","Technical Accuracy, Professionalism & Presentation, Grammar","The survey was carried out on <span style='text-decoration:line-through;color:red'>Tuesday</span> <span style='text-decoration:line-through;color:red'>28th</span> <span style='text-decoration:line-through;color:red'>January</span> <span style='color:green;font-weight:bold'>18</span> <span style='color:green;font-weight:bold'>June</span> 2025, when the weather conditions were overcast and <span style='text-decoration:line-through;color:red'>raining</span> <span style='color:green;font-weight:bold'>rainy</span> with an external air temperature of <span style='text-decoration:line-through;color:red'>circa</span> <span style='color:green;font-weight:bold'>approximately</span> 10°C. <span style='text-decoration:line-through;color:red'>An</span> <span style='text-decoration:line-through;color:red'>additional</span> <span style='text-decoration:line-through;color:red'>visit</span> <span style='text-decoration:line-through;color:red'>was</span> <span style='text-decoration:line-through;color:red'>undertaken</span> <span style='text-decoration:line-through;color:red'>on</span> <span style='text-decoration:line-through;color:red'>Friday</span> <span style='text-decoration:line-through;color:red'>28th</span> <span style='text-decoration:line-through;color:red'>February</span> <span style='text-decoration:line-through;color:red'>2025</span> <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>inspect</span> <span style='text-decoration:line-through;color:red'>Flat</span> <span style='text-decoration:line-through;color:red'>5</span> <span style='text-decoration:line-through;color:red'>of</span> <span style='text-decoration:line-through;color:red'>Cove</span> <span style='text-decoration:line-through;color:red'>Apartments</span> <span style='text-decoration:line-through;color:red'>when</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>weather</span> <span style='text-decoration:line-through;color:red'>conditions</span> <span style='text-decoration:line-through;color:red'>were</span> <span style='text-decoration:line-through;color:red'>sunny</span> <span style='text-decoration:line-through;color:red'>with</span> <span style='text-decoration:line-through;color:red'>an</span> <span style='text-decoration:line-through;color:red'>external</span> <span style='text-decoration:line-through;color:red'>air</span> <span style='text-decoration:line-through;color:red'>temperature</span> <span style='text-decoration:line-through;color:red'>of</span> <span style='text-decoration:line-through;color:red'>circa</span> <span style='text-decoration:line-through;color:red'>10°C.</span>"
"Page 6, Executive Summary (Section 2)",The building was constructed circa 2005 with the current Aparthotel and Cove Apartments refurbishment works undertaken in 2023.,"The building was constructed in 2020, with refurbishment works undertaken in 2023.",Corrects the construction date to 2020 to align with the fact list and maintain internal consistency. It also replaces the less formal 'circa' with a definitive date for accuracy.,"Technical Accuracy, Internal Consistency","The building was constructed <span style='text-decoration:line-through;color:red'>circa</span> <span style='text-decoration:line-through;color:red'>2005</span> <span style='color:green;font-weight:bold'>in</span> <span style='color:green;font-weight:bold'>2020,</span> with <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>current</span> <span style='text-decoration:line-through;color:red'>Aparthotel</span> <span style='text-decoration:line-through;color:red'>and</span> <span style='text-decoration:line-through;color:red'>Cove</span> <span style='text-decoration:line-through;color:red'>Apartments</span> refurbishment works undertaken in 2023."
"Page 6, Executive Summary (Section 2)","CIBSE Guide M Maintenance Engineering and Management Appendix 13.A1: Indicative Life Expectancy Factors suggests that the economic life of the many of building services installation is in the region of 8-20 years with an economic life of 20-30 years for main electrical switchgear. However, services will often function beyond this but could be prone to obsolescence.","CIBSE Guide M Maintenance Engineering and Management Appendix 13.A1: Indicative Life Expectancy Factors suggests that the economic life of many building services installations is in the region of 8-20 years, with an economic life of 20-30 years for main electrical switchgear. However, services will often function beyond this but may be prone to obsolescence.",Corrects a grammatical error ('the many of building services installation' to 'many building services installations') and improves the tone ('could be' to 'may be') for improved professionalism and readability.,"Grammar, Professionalism & Presentation","CIBSE Guide M Maintenance Engineering and Management Appendix 13.A1: Indicative Life Expectancy Factors suggests that the economic life of <span style='text-decoration:line-through;color:red'>the</span> many <span style='text-decoration:line-through;color:red'>of</span> building services <span style='text-decoration:line-through;color:red'>installation</span> <span style='color:green;font-weight:bold'>installations</span> is in the region of 8-20 <span style='text-decoration:line-through;color:red'>years</span> <span style='color:green;font-weight:bold'>years,</span> with an economic life of 20-30 years for main electrical switchgear. However, services will often function beyond this but <span style='text-decoration:line-through;color:red'>could</span> <span style='color:green;font-weight:bold'>may</span> be prone to obsolescence."
"Page 6, Executive Summary (Section 2)","The engineering services comprising heating, cooling, hot and cold domestic water services, low voltage electrical distribution systems, lighting and small power systems, sprinkler and fire alarm systems have all been subject to upgrades and renewal as part of the 2023 aparthotel refurbishments.","The engineering services comprising heating, cooling, hot and cold domestic water services, low voltage electrical distribution systems, lighting and small power systems, sprinkler and fire alarm systems have all been subject to upgrades and renewal as part of the 2023 aparthotel refurbishment.","Changes 'refurbishments' to 'refurbishment' for consistency, as it refers to a single event.",Grammar,"The engineering services comprising heating, cooling, hot and cold domestic water services, low voltage electrical distribution systems, lighting and small power systems, sprinkler and fire alarm systems have all been subject to upgrades and renewal as part of the 2023 aparthotel <span style='text-decoration:line-through;color:red'>refurbishments.</span> <span style='color:green;font-weight:bold'>refurbishment.</span>"
"Page 6, Executive Summary (Section 2)","Statutory test documentation was not available on site, nor on the company digital data hub. It is considered that this plant should remain serviceable into the long term.","Statutory test documentation was not available for review. While the plant appears serviceable, its long-term reliability and compliance cannot be confirmed without this documentation. It is critical that the client requests and reviews all outstanding statutory test records (refer to Section 3.8).","The original unqualified assertion of long-term serviceability despite missing statutory documentation creates a significant liability for FHP. This revision removes the assertion, highlights the compliance risk, and provides a clear, actionable recommendation for the client, thereby mitigating our risk and demonstrating value.","Risk Mitigation, Compliance, Internal Consistency","Statutory test documentation was not available <span style='text-decoration:line-through;color:red'>on</span> <span style='text-decoration:line-through;color:red'>site,</span> <span style='text-decoration:line-through;color:red'>nor</span> <span style='text-decoration:line-through;color:red'>on</span> <span style='color:green;font-weight:bold'>for</span> <span style='color:green;font-weight:bold'>review.</span> <span style='color:green;font-weight:bold'>While</span> the <span style='text-decoration:line-through;color:red'>company</span> <span style='text-decoration:line-through;color:red'>digital</span> <span style='text-decoration:line-through;color:red'>data</span> <span style='text-decoration:line-through;color:red'>hub.</span> <span style='color:green;font-weight:bold'>plant</span> <span style='color:green;font-weight:bold'>appears</span> <span style='color:green;font-weight:bold'>serviceable,</span> <span style='color:green;font-weight:bold'>its</span> <span style='color:green;font-weight:bold'>long-term</span> <span style='color:green;font-weight:bold'>reliability</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>compliance</span> <span style='color:green;font-weight:bold'>cannot</span> <span style='color:green;font-weight:bold'>be</span> <span style='color:green;font-weight:bold'>confirmed</span> <span style='color:green;font-weight:bold'>without</span> <span style='color:green;font-weight:bold'>this</span> <span style='color:green;font-weight:bold'>documentation.</span> It is <span style='text-decoration:line-through;color:red'>considered</span> <span style='color:green;font-weight:bold'>critical</span> that <span style='text-decoration:line-through;color:red'>this</span> <span style='text-decoration:line-through;color:red'>plant</span> <span style='text-decoration:line-through;color:red'>should</span> <span style='text-decoration:line-through;color:red'>remain</span> <span style='text-decoration:line-through;color:red'>serviceable</span> <span style='text-decoration:line-through;color:red'>into</span> the <span style='text-decoration:line-through;color:red'>long</span> <span style='text-decoration:line-through;color:red'>term.</span> <span style='color:green;font-weight:bold'>client</span> <span style='color:green;font-weight:bold'>requests</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>reviews</span> <span style='color:green;font-weight:bold'>all</span> <span style='color:green;font-weight:bold'>outstanding</span> <span style='color:green;font-weight:bold'>statutory</span> <span style='color:green;font-weight:bold'>test</span> <span style='color:green;font-weight:bold'>records</span> <span style='color:green;font-weight:bold'>(refer</span> <span style='color:green;font-weight:bold'>to</span> <span style='color:green;font-weight:bold'>Section</span> <span style='color:green;font-weight:bold'>3.8).</span>"
"Page 6, Executive Summary (Section 2)",The Aparthotel is provided with a pair of passenger lifts and goods lift. Cove Apartments is provided with a single passenger lift.,The property is provided with two lifts in total.,"The original text describes four lifts across two buildings, which contradicts the fact list stating there is one building with two lifts. This revision corrects the description to align with the provided project data.","Technical Accuracy, Internal Consistency",The <span style='text-decoration:line-through;color:red'>Aparthotel</span> <span style='color:green;font-weight:bold'>property</span> is provided with <span style='text-decoration:line-through;color:red'>a</span> <span style='text-decoration:line-through;color:red'>pair</span> <span style='text-decoration:line-through;color:red'>of</span> <span style='text-decoration:line-through;color:red'>passenger</span> <span style='color:green;font-weight:bold'>two</span> lifts <span style='text-decoration:line-through;color:red'>and</span> <span style='text-decoration:line-through;color:red'>goods</span> <span style='text-decoration:line-through;color:red'>lift.</span> <span style='text-decoration:line-through;color:red'>Cove</span> <span style='text-decoration:line-through;color:red'>Apartments</span> <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>provided</span> <span style='text-decoration:line-through;color:red'>with</span> <span style='text-decoration:line-through;color:red'>a</span> <span style='text-decoration:line-through;color:red'>single</span> <span style='text-decoration:line-through;color:red'>passenger</span> <span style='text-decoration:line-through;color:red'>lift.</span> <span style='color:green;font-weight:bold'>in</span> <span style='color:green;font-weight:bold'>total.</span>
"Page 6, Executive Summary (Section 2)",The lifts within the Aparthotel are currently undergoing major refurbishment due to be complete spring 2025.,"The lifts within the Aparthotel are currently undergoing major refurbishment, anticipated to be completed by Q2 2025.",Improves grammatical correctness ('completed by') and replaces the informal 'spring' with the more professional and specific 'Q2 2025' for improved client clarity and presentation.,"Professionalism & Presentation, Clarity, Grammar","The lifts within the Aparthotel are currently undergoing major <span style='text-decoration:line-through;color:red'>refurbishment</span> <span style='text-decoration:line-through;color:red'>due</span> <span style='color:green;font-weight:bold'>refurbishment,</span> <span style='color:green;font-weight:bold'>anticipated</span> to be <span style='text-decoration:line-through;color:red'>complete</span> <span style='text-decoration:line-through;color:red'>spring</span> <span style='color:green;font-weight:bold'>completed</span> <span style='color:green;font-weight:bold'>by</span> <span style='color:green;font-weight:bold'>Q2</span> 2025."
"Page 6, Executive Summary (Section 2)",The complete VRV heating/cooling condenser installation was installed as part of the aparthotel refurbishment in 2023. The services are considered to be in a fair visual condition. Physical access to maintain the units is poor and access around the units is restricted. An allowance has been made to improve access to and around the units.,"The VRV heating/cooling condensers were installed in 2023. However, it is critical to note that this roof plant was not operational during the survey due to an ongoing roof replacement. Furthermore, physical access for future maintenance is poor. An allowance to improve this access is included in the Capital Works Budget Cost Table (Item 1, Page 9).","Synthesizes multiple points by integrating the critical missing fact from the project data that the roof plant was not operational, which is a major finding. The revision also makes the budget allowance an actionable, cross-referenced point, adding client value and mitigating risk.","Technical Accuracy, Risk Mitigation","The <span style='text-decoration:line-through;color:red'>complete</span> VRV heating/cooling <span style='text-decoration:line-through;color:red'>condenser</span> <span style='text-decoration:line-through;color:red'>installation</span> <span style='text-decoration:line-through;color:red'>was</span> <span style='color:green;font-weight:bold'>condensers</span> <span style='color:green;font-weight:bold'>were</span> installed <span style='text-decoration:line-through;color:red'>as</span> <span style='text-decoration:line-through;color:red'>part</span> <span style='text-decoration:line-through;color:red'>of</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>aparthotel</span> <span style='text-decoration:line-through;color:red'>refurbishment</span> in 2023. <span style='text-decoration:line-through;color:red'>The</span> <span style='text-decoration:line-through;color:red'>services</span> <span style='text-decoration:line-through;color:red'>are</span> <span style='text-decoration:line-through;color:red'>considered</span> <span style='color:green;font-weight:bold'>However,</span> <span style='color:green;font-weight:bold'>it</span> <span style='color:green;font-weight:bold'>is</span> <span style='color:green;font-weight:bold'>critical</span> to <span style='text-decoration:line-through;color:red'>be</span> <span style='text-decoration:line-through;color:red'>in</span> <span style='text-decoration:line-through;color:red'>a</span> <span style='text-decoration:line-through;color:red'>fair</span> <span style='text-decoration:line-through;color:red'>visual</span> <span style='text-decoration:line-through;color:red'>condition.</span> <span style='text-decoration:line-through;color:red'>Physical</span> <span style='color:green;font-weight:bold'>note</span> <span style='color:green;font-weight:bold'>that</span> <span style='color:green;font-weight:bold'>this</span> <span style='color:green;font-weight:bold'>roof</span> <span style='color:green;font-weight:bold'>plant</span> <span style='color:green;font-weight:bold'>was</span> <span style='color:green;font-weight:bold'>not</span> <span style='color:green;font-weight:bold'>operational</span> <span style='color:green;font-weight:bold'>during</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>survey</span> <span style='color:green;font-weight:bold'>due</span> <span style='color:green;font-weight:bold'>to</span> <span style='color:green;font-weight:bold'>an</span> <span style='color:green;font-weight:bold'>ongoing</span> <span style='color:green;font-weight:bold'>roof</span> <span style='color:green;font-weight:bold'>replacement.</span> <span style='color:green;font-weight:bold'>Furthermore,</span> <span style='color:green;font-weight:bold'>physical</span> access <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>maintain</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>units</span> <span style='color:green;font-weight:bold'>for</span> <span style='color:green;font-weight:bold'>future</span> <span style='color:green;font-weight:bold'>maintenance</span> is <span style='text-decoration:line-through;color:red'>poor</span> <span style='text-decoration:line-through;color:red'>and</span> <span style='text-decoration:line-through;color:red'>access</span> <span style='text-decoration:line-through;color:red'>around</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>units</span> <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>restricted.</span> <span style='color:green;font-weight:bold'>poor.</span> An allowance <span style='text-decoration:line-through;color:red'>has</span> <span style='text-decoration:line-through;color:red'>been</span> <span style='text-decoration:line-through;color:red'>made</span> to improve <span style='color:green;font-weight:bold'>this</span> access <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>and</span> <span style='text-decoration:line-through;color:red'>around</span> <span style='color:green;font-weight:bold'>is</span> <span style='color:green;font-weight:bold'>included</span> <span style='color:green;font-weight:bold'>in</span> the <span style='text-decoration:line-through;color:red'>units.</span> <span style='color:green;font-weight:bold'>Capital</span> <span style='color:green;font-weight:bold'>Works</span> <span style='color:green;font-weight:bold'>Budget</span> <span style='color:green;font-weight:bold'>Cost</span> <span style='color:green;font-weight:bold'>Table</span> <span style='color:green;font-weight:bold'>(Item</span> <span style='color:green;font-weight:bold'>1,</span> <span style='color:green;font-weight:bold'>Page</span> <span style='color:green;font-weight:bold'>9).</span>"
"Page 7, Executive Summary (Section 2)",An allowance has been made to improve access to and around the units and replace the mechanical ventilation systems in the short to medium term.,"Allowances have been included in the Capital Works Budget Cost Table (Items 2 & 3, Page 9) to improve access around the units and replace the mechanical ventilation systems.","Replaces vague language ('An allowance has been made') with a specific, actionable cross-reference to the budget table, which is more valuable and clear for the client.",Clarity,"<span style='text-decoration:line-through;color:red'>An</span> <span style='text-decoration:line-through;color:red'>allowance</span> <span style='text-decoration:line-through;color:red'>has</span> <span style='color:green;font-weight:bold'>Allowances</span> <span style='color:green;font-weight:bold'>have</span> been <span style='text-decoration:line-through;color:red'>made</span> <span style='color:green;font-weight:bold'>included</span> <span style='color:green;font-weight:bold'>in</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>Capital</span> <span style='color:green;font-weight:bold'>Works</span> <span style='color:green;font-weight:bold'>Budget</span> <span style='color:green;font-weight:bold'>Cost</span> <span style='color:green;font-weight:bold'>Table</span> <span style='color:green;font-weight:bold'>(Items</span> <span style='color:green;font-weight:bold'>2</span> <span style='color:green;font-weight:bold'>&</span> <span style='color:green;font-weight:bold'>3,</span> <span style='color:green;font-weight:bold'>Page</span> <span style='color:green;font-weight:bold'>9)</span> to improve access <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>and</span> around the units and replace the mechanical ventilation <span style='text-decoration:line-through;color:red'>systems</span> <span style='text-decoration:line-through;color:red'>in</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>short</span> <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>medium</span> <span style='text-decoration:line-through;color:red'>term.</span> <span style='color:green;font-weight:bold'>systems.</span>"
"Page 7, Executive Summary (Section 2)",Landlords Distribution system,Landlord's Distribution System,Adds a possessive apostrophe and capitalises 'System' for grammatical correctness and consistent heading style.,"Grammar, Formatting",<span style='text-decoration:line-through;color:red'>Landlords</span> <span style='color:green;font-weight:bold'>Landlord's</span> Distribution <span style='text-decoration:line-through;color:red'>system</span> <span style='color:green;font-weight:bold'>System</span>
"Page 7, Executive Summary (Section 2)","Chemical and microbiological certification for the closed loop systems were not available for review. Therefore, the water quality of the closed loop systems could not be ascertained. -You are therefore advised that it is possible that the closed systems water quality is poor and that costs may be incurred to return to acceptable standards.","Chemical and microbiological certification for the closed loop systems was not available for review; therefore, the water quality could not be ascertained. The client is advised to obtain this documentation, as poor water quality could lead to significant costs to return systems to acceptable standards.","This synthesised revision corrects punctuation, removes the informal address ('-You'), and streamlines the phrasing for better clarity and professionalism. It emphasizes the actionable advice for the client and the potential cost implications.","Clarity, Grammar, Professionalism & Presentation","Chemical and microbiological certification for the closed loop systems <span style='text-decoration:line-through;color:red'>were</span> <span style='color:green;font-weight:bold'>was</span> not available for <span style='text-decoration:line-through;color:red'>review.</span> <span style='text-decoration:line-through;color:red'>Therefore,</span> <span style='color:green;font-weight:bold'>review;</span> <span style='color:green;font-weight:bold'>therefore,</span> the water quality <span style='text-decoration:line-through;color:red'>of</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>closed</span> <span style='text-decoration:line-through;color:red'>loop</span> <span style='text-decoration:line-through;color:red'>systems</span> could not be ascertained. <span style='text-decoration:line-through;color:red'>-You</span> <span style='text-decoration:line-through;color:red'>are</span> <span style='text-decoration:line-through;color:red'>therefore</span> <span style='color:green;font-weight:bold'>The</span> <span style='color:green;font-weight:bold'>client</span> <span style='color:green;font-weight:bold'>is</span> advised <span style='text-decoration:line-through;color:red'>that</span> <span style='text-decoration:line-through;color:red'>it</span> <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>possible</span> <span style='text-decoration:line-through;color:red'>that</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>closed</span> <span style='text-decoration:line-through;color:red'>systems</span> <span style='color:green;font-weight:bold'>to</span> <span style='color:green;font-weight:bold'>obtain</span> <span style='color:green;font-weight:bold'>this</span> <span style='color:green;font-weight:bold'>documentation,</span> <span style='color:green;font-weight:bold'>as</span> <span style='color:green;font-weight:bold'>poor</span> water quality <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>poor</span> <span style='text-decoration:line-through;color:red'>and</span> <span style='text-decoration:line-through;color:red'>that</span> <span style='color:green;font-weight:bold'>could</span> <span style='color:green;font-weight:bold'>lead</span> <span style='color:green;font-weight:bold'>to</span> <span style='color:green;font-weight:bold'>significant</span> costs <span style='text-decoration:line-through;color:red'>may</span> <span style='text-decoration:line-through;color:red'>be</span> <span style='text-decoration:line-through;color:red'>incurred</span> to return <span style='color:green;font-weight:bold'>systems</span> to acceptable standards."
